LANGUAGE,AGE,SET
language_887,"[1, 0]",10
language_888,"[1, 0]",10
language_889,"[0, 0]",10
language_890,"[1, 1]",10
language_892,"[1, 0]",10
language_893,"[1, 0]",10
language_894,"[1, 0]",10
language_895,"[0, 0]",10
language_896,"[1, 0]",10
language_897,"[1, 0]",10
language_898,"[1, 0]",10
language_899,"[1, 0]",10
language_901,"[1, 1]",10
language_903,"[1, 0]",10
language_904,"[0, 0]",10
language_905,"[0, 0]",10
language_906,"[0, 0]",10
language_907,"[0, 1]",10
language_908,"[1, 0]",10
language_910,"[0, 0]",10
language_911,"[1, 0]",10
language_913,"[1, 0]",10
language_914,"[0, 0]",10
language_915,"[1, 0]",10
language_916,"[1, 0]",10
language_917,"[0, 0]",10
language_918,"[1, 0]",10
language_919,"[0, 0]",10
language_920,"[0, 0]",10
language_922,"[1, 0]",10
language_923,"[1, 0]",10
language_924,"[1, 0]",10
language_926,"[0, 0]",10
language_927,"[1, 0]",10
language_928,"[0, 0]",10
language_929,"[0, 0]",10
language_930,"[1, 0]",10
language_931,"[1, 0]",10
language_933,"[1, 0]",10
language_934,"[1, 0]",10
language_935,"[1, 1]",10
language_936,"[1, 0]",10
language_937,"[0, 1]",10
language_938,"[1, 0]",10
language_939,"[0, 0]",10
language_940,"[0, 1]",10
language_941,"[1, 0]",10
language_942,"[1, 0]",10
language_944,"[1, 0]",10
language_945,"[1, 0]",10
language_946,"[1, 0]",10
language_947,"[1, 1]",10
language_948,"[1, 0]",10
language_949,"[1, 0]",10
language_951,"[0, 0]",10
language_952,"[1, 0]",10
language_953,"[0, 0]",10
language_955,"[1, 0]",10
language_957,"[1, 0]",10
language_958,"[1, 0]",10
language_959,"[1, 0]",10
language_962,"[1, 0]",10
language_963,"[0, 0]",10
language_964,"[0, 0]",10
language_965,"[1, 0]",10
language_966,"[1, 0]",10
language_967,"[1, 0]",10
language_968,"[1, 0]",10
language_969,"[0, 0]",10
language_970,"[0, 0]",10
language_971,"[0, 0]",10
language_972,"[0, 0]",10
language_973,"[0, 0]",10
language_974,"[1, 0]",10
language_975,"[1, 0]",10
language_977,"[1, 0]",10
language_978,"[1, 0]",10
language_979,"[1, 0]",10
language_980,"[1, 1]",10
language_981,"[1, 0]",10
language_983,"[1, 1]",10
language_984,"[1, 0]",10
language_985,"[1, 0]",10
language_986,"[0, 0]",10
language_987,"[1, 0]",10
language_988,"[1, 0]",10
language_990,"[1, 1]",10
language_991,"[1, 0]",10
language_992,"[1, 0]",10
language_994,"[1, 0]",10
language_995,"[1, 0]",10
language_996,"[0, 0]",10
language_997,"[1, 0]",10
language_998,"[1, 0]",10
language_999,"[1, 0]",10
language_1000,"[1, 0]",10
