LANGUAGE,LINEAGE
language_851,"[0, 1]"
language_853,"[1, 1]"
language_854,"[0, 1]"
language_855,"[0, 0]"
language_856,"[0, 1]"
language_858,"[0, 1]"
language_862,"[0, 1]"
language_863,"[0, 0]"
language_866,"[0, 1]"
language_867,"[0, 1]"
language_868,"[1, 1]"
language_869,"[0, 0]"
language_870,"[0, 1]"
language_871,"[0, 1]"
language_874,"[1, 1]"
language_875,"[1, 1]"
language_879,"[0, 1]"
language_880,"[0, 0]"
language_881,"[0, 1]"
language_882,"[0, 1]"
language_885,"[0, 1]"
language_886,"[1, 1]"
language_887,"[1, 0]"
language_888,"[1, 1]"
language_889,"[1, 0]"
language_891,"[0, 1]"
language_893,"[1, 1]"
language_894,"[0, 1]"
language_896,"[0, 0]"
language_898,"[0, 1]"
language_899,"[0, 1]"
language_900,"[0, 1]"
language_903,"[0, 0]"
language_905,"[0, 1]"
language_908,"[0, 0]"
language_910,"[0, 0]"
language_911,"[0, 1]"
language_914,"[0, 0]"
language_915,"[0, 0]"
language_916,"[0, 1]"
language_918,"[1, 1]"
language_920,"[0, 1]"
language_921,"[0, 1]"
language_922,"[1, 0]"
language_924,"[0, 0]"
language_926,"[1, 1]"
language_927,"[0, 0]"
language_929,"[0, 1]"
language_930,"[0, 0]"
language_931,"[0, 0]"
language_932,"[0, 0]"
language_934,"[0, 0]"
language_935,"[0, 0]"
language_936,"[0, 1]"
language_937,"[1, 1]"
language_938,"[0, 0]"
language_939,"[0, 1]"
language_940,"[1, 0]"
language_941,"[1, 1]"
language_943,"[0, 1]"
language_944,"[0, 1]"
language_946,"[0, 1]"
language_947,"[1, 0]"
language_951,"[1, 1]"
language_952,"[0, 1]"
language_953,"[0, 1]"
language_954,"[0, 1]"
language_955,"[0, 1]"
language_957,"[0, 1]"
language_958,"[0, 0]"
language_960,"[1, 1]"
language_961,"[0, 0]"
language_963,"[0, 1]"
language_964,"[0, 1]"
language_966,"[0, 1]"
language_967,"[0, 1]"
language_969,"[0, 0]"
language_971,"[1, 0]"
language_972,"[0, 0]"
language_973,"[0, 1]"
language_974,"[0, 1]"
language_975,"[0, 1]"
language_976,"[1, 1]"
language_979,"[0, 0]"
language_981,"[1, 1]"
language_982,"[0, 0]"
language_984,"[0, 0]"
language_985,"[0, 1]"
language_987,"[0, 1]"
language_988,"[0, 1]"
language_989,"[0, 1]"
language_990,"[0, 1]"
language_992,"[0, 1]"
language_993,"[0, 0]"
language_994,"[0, 0]"
language_995,"[1, 1]"
language_996,"[0, 0]"
language_997,"[1, 0]"
language_998,"[0, 0]"
language_999,"[0, 1]"
