"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"233","Basque",1,1,"kinbank","kinbank"
"234","Berik",0,1,"kinbank","kinbank"
"235","Bilua",0,1,"kinbank","kinbank"
"236","Bininj_Kun-wok",0.5,1,"kinbank","kinbank"
"237","Blagar",1,1,"kinbank","kinbank"
"238","Buin",1,1,"kinbank","kinbank"
"239","Cha_palaa",1,1,"kinbank","kinbank"
"240","Chimariko",0.0476190476190476,1,"kinbank","kinbank"
"241","Chiricahua",1,0,"kinbank","kinbank"
"242","Cocopa",1,1,"kinbank","kinbank"
"243","Copper_Inuit",1,0,"kinbank","kinbank"
"244","Cubeo",1,0.5,"kinbank","kinbank"
"245","Cusco_Quechua",1,1,"kinbank","kinbank"
"246","Dalabon",0.6,1,"kinbank","kinbank"
"247","Daribi",0.545454545454545,1,"kinbank","kinbank"
"248","DeneTha_South_Slavey_",0.0909090909090909,1,"kinbank","kinbank"
"249","Dene_Suline╠ü",0.0909090909090909,1,"kinbank","kinbank"
"250","De╠üli╠¿ne",1,1,"kinbank","kinbank"
"251","Doutai",1,0.5,"kinbank","kinbank"
"252","Duna",0.545454545454545,1,"kinbank","kinbank"
"253","Edopi",0.6,0.5,"kinbank","kinbank"
"254","Eipo",0.772727272727273,1,"kinbank","kinbank"
"255","Ekari",0.4,1,"kinbank","kinbank"
"256","Ende_(Papua_New_Guinea)",0.0909090909090909,0.75,"kinbank","kinbank"
"257","Eyak",0,1,"kinbank","kinbank"
"258","Foi",0.6,1,"kinbank","kinbank"
"259","Fore",0.4,1,"kinbank","kinbank"
"260","Galeia_B",1,1,"kinbank","kinbank"
"261","Ganggalida",1,1,"kinbank","kinbank"
"262","Gimi",0.772727272727273,0.5,"kinbank","kinbank"
"263","Grand_Valley_Dani",0.8,0.5,"kinbank","kinbank"
"264","Gui_(Gwi)",0,1,"kinbank","kinbank"
"265","Gu╠ênu╠êna_Ku╠êne",0.0909090909090909,1,"kinbank","kinbank"
"266","Hewa",0.545454545454545,1,"kinbank","kinbank"
"267","Huli",0.545454545454545,1,"kinbank","kinbank"
"268","Hunza",0.181818181818182,0,"kinbank","kinbank"
"269","Hupa",1,1,"kinbank","kinbank"
"270","I'saka_(Krisa)",1,1,"kinbank","kinbank"
"271","Iau",1,1,"kinbank","kinbank"
"272","Idi",0,0.75,"kinbank","kinbank"
"273","Inanwatan_(Suabo)",1,1,"kinbank","kinbank"
"274","Isirawa",0,1,"kinbank","kinbank"
"275","Iwam",0.8,0.75,"kinbank","kinbank"
"276","Japanese",0.0909090909090909,1,"kinbank","kinbank"
"277","Jicarilla",1,1,"kinbank","kinbank"
"278","Jingulu",0.6,1,"kinbank","kinbank"
"279","Kalamang",0.545454545454545,1,"kinbank","kinbank"
"280","Kamang",0.6,1,"kinbank","kinbank"
"281","Kamano",0.0909090909090909,1,"kinbank","kinbank"
"282","Karok",1,1,"kinbank","kinbank"
"283","Kashaya",1,1,"kinbank","kinbank"
"284","Kaure",0.6,1,"kinbank","kinbank"
"285","Kayardild",1,1,"kinbank","kinbank"
"286","Kemiju_(Jate)",0.0909090909090909,1,"kinbank","kinbank"
"287","Kemtuik",0.7,1,"kinbank","kinbank"
"288","Ketengban",0.6,1,"kinbank","kinbank"
"289","Ket",0.952380952380952,0,"kinbank","kinbank"
"290","Kewa",0.545454545454545,1,"kinbank","kinbank"
"291","Keyagana_(Jate)",0.0909090909090909,1,"kinbank","kinbank"
"292","Khalkha-Mongolian",0.5,1,"kinbank","kinbank"
