LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Kamang,"(1, 1)","(1, 1)","(0, 1)"
,,,
Kamano,"(1, 1)","(0, 0)","(1, 1)"
,,,
Kanum,"(0, 0)","(0, 0)","(0, 0)"
,,,
Karok,"(1, 1)","(1, 0)","(0, 1)"
,,,
Kashaya,"(1, 1)","(1, 1)","(0, 1)"
,,,
Kaure,"(1, 1)","(0, 1)","(1, 1)"
,,,
Kayardild,"(1, 1)","(0, 0)","(1, 1)"
,,,
Kemiju_(Jate),"(1, 1)","(0, 0)","(1, 1)"
,,,
Kemtuik,"(1, 1)","(0, 1)","(0, 1)"
,,,
Ketengban,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ket,"(1, 0)","(1, 1)","(0, 0)"
,,,
Kewa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Keyagana_(Jate),"(1, 1)","(0, 0)","(1, 1)"
,,,
Khalkha-Mongolian,"(0, 1)","(1, 0)","(1, 1)"
,,,
Kilmeri,"(1, 1)","(0, 0)","(0, 1)"
,,,
Kimaama,"(0, 1)","(1, 0)","(0, 0)"
,,,
Kiowa_Apache,"(1, 1)","(0, 0)","(0, 1)"
,,,
Kiraman,"(1, 1)","(1, 0)","(1, 0)"
,,,
Kiwaian,"(1, 1)","(1, 1)","(1, 1)"
,,,
Klon,"(1, 0)","(1, 0)","(0, 0)"
,,,
Kogi,"(1, 1)","(1, 0)","(0, 0)"
,,,
Koiari,"(0, 1)","(0, 0)","(0, 1)"
,,,
Kombai,"(1, 1)","(1, 0)","(1, 1)"
,,,
Komnzo,"(0, 1)","(1, 0)","(1, 1)"
,,,
Konda_(Western_Dani),"(1, 1)","(1, 1)","(1, 1)"
,,,
Korafe,"(1, 1)","(1, 0)","(0, 1)"
,,,
Korowai,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kuman,"(1, 1)","(1, 0)","(0, 1)"
,,,
Kung,"(0, 0)","(1, 0)","(1, 0)"
,,,
Kunimaipa,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kunza,"(1, 0)","(0, 0)","(0, 0)"
,,,
Kuot,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kwoma,"(1, 1)","(0, 1)","(0, 1)"
,,,
Lake_Miwok,"(1, 0)","(1, 0)","(1, 0)"
,,,
Lardil,"(1, 1)","(0, 0)","(0, 1)"
,,,
Lengua,"(0, 1)","(0, 0)","(0, 1)"
,,,
Limilngan,"(1, 0)","(1, 0)","(0, 0)"
,,,
Lipan_Apache,"(1, 1)","(0, 0)","(0, 1)"
,,,
Loloda-Laba_(Loda),"(1, 1)","(0, 1)","(0, 1)"
,,,
Maca,"(0, 0)","(0, 0)","(0, 0)"
,,,
Madole,"(0, 1)","(0, 0)","(0, 0)"
,,,
Mairasi,"(0, 1)","(1, 0)","(0, 1)"
,,,
Maklew,"(0, 0)","(1, 0)","(0, 0)"
,,,
Mala,"(1, 1)","(1, 0)","(0, 1)"
,,,
Mali,"(1, 0)","(1, 0)","(0, 0)"
,,,
Mapudungun,"(0, 1)","(1, 0)","(0, 1)"
,,,
Marind,"(1, 1)","(1, 0)","(1, 1)"
,,,
Marra,"(1, 1)","(1, 1)","(0, 1)"
,,,
Mattole,"(0, 0)","(0, 0)","(0, 0)"
,,,
Maybrat,"(1, 1)","(0, 0)","(1, 1)"
,,,
Mblafe,"(1, 0)","(0, 0)","(0, 0)"
,,,
Meriam,"(1, 1)","(0, 0)","(1, 0)"
,,,
Meyah,"(1, 1)","(1, 0)","(1, 0)"
,,,
Miani,"(1, 1)","(1, 1)","(1, 1)"
,,,
Midob,"(1, 1)","(1, 0)","(1, 1)"
,,,
Mocovi╠ü,"(1, 1)","(1, 0)","(0, 0)"
,,,
Momu-Fas,"(1, 1)","(0, 0)","(0, 1)"
,,,
Moni,"(1, 1)","(1, 0)","(1, 1)"
,,,
Monumbo,"(1, 1)","(1, 0)","(1, 0)"
,,,
Arikara_(Arickaree),"(1, 1)","(0, 0)","(0, 0)"
,,,
Assiniboine_(Asiniboine),"(1, 1)","(1, 0)","(1, 1)"
,,,
"Baffin_Inuktitut_(Eskimo,_Northumberland_Inlet)","(1, 1)","(1, 0)","(0, 1)"
,,,
Cayuga,"(1, 1)","(1, 0)","(1, 0)"
,,,
Cherokee,"(1, 1)","(1, 0)","(1, 1)"
,,,
Chibcha_(New_Granada),"(1, 1)","(1, 0)","(1, 1)"
,,,
Chickasa,"(1, 1)","(0, 0)","(1, 1)"
,,,
Choctaw_(1),"(1, 1)","(0, 0)","(1, 1)"
,,,
Choctaw_(2),"(1, 1)","(0, 0)","(1, 1)"
,,,
