LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
Ache╠ü,"(1, 1)","(0, 0)","(0, 0)"
,,,
Anambe╠ü,"(1, 0)","(1, 0)","(0, 0)"
,,,
Arawete╠ü,"(1, 1)","(1, 0)","(1, 1)"
,,,
Ava╠ü_Canoeiro,"(0, 0)","(0, 0)","(0, 0)"
,,,
Aweti╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Chiriguano,"(1, 1)","(1, 0)","(0, 1)"
,,,
Cinta_Larga,"(1, 1)","(0, 0)","(0, 1)"
,,,
Cocama_Cocamilla,"(1, 1)","(0, 0)","(0, 0)"
,,,
Emerillon,"(0, 1)","(0, 0)","(0, 1)"
,,,
Guaja╠ü,"(1, 1)","(0, 0)","(1, 1)"
,,,
Guarayu,"(1, 1)","(1, 0)","(0, 1)"
,,,
Juru╠üna,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kaiwa╠ü,"(1, 1)","(1, 0)","(1, 1)"
,,,
Kamayura╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Karitiana,"(1, 1)","(0, 0)","(0, 0)"
,,,
Kayabi╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Mbya╠ü_Guarani╠ü,"(0, 1)","(0, 1)","(0, 1)"
,,,
Munduruku╠ü,"(1, 1)","(1, 0)","(0, 1)"
,,,
Paraguayan_Guarani╠ü,"(1, 1)","(1, 1)","(0, 1)"
,,,
Parakana╠â,"(1, 1)","(1, 0)","(1, 1)"
,,,
Pauserna,"(1, 1)","(0, 0)","(0, 1)"
,,,
Proto_Tupi_Guarani,"(1, 1)","(0, 0)","(0, 1)"
,,,
Satere╠ü_Mawe╠ü,"(1, 1)","(1, 0)","(1, 0)"
,,,
Siriono╠ü,"(1, 1)","(0, 0)","(1, 1)"
,,,
Surui╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tapirape╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tembe╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Tenharim,"(1, 1)","(1, 0)","(1, 1)"
,,,
Tocantins_Asurini,"(1, 1)","(0, 0)","(1, 1)"
,,,
Tupinamba╠ü,"(1, 1)","(1, 0)","(0, 0)"
,,,
Tupi╠ü,"(1, 1)","(0, 0)","(0, 1)"
,,,
Wayampi,"(1, 1)","(1, 0)","(0, 1)"
LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
LANGUAGE,GENDER SYMMETRY,AGE SYMMETRY,LINEAGE SYMMETRY
LANGUAGE,GENERATION,GENDER
LANGUAGE,GENERATION,GENDER
