LANGUAGE,GENDER,SET
language_559,"[1, 1]",880
language_560,"[1, 1]",880
language_561,"[1, 1]",880
language_562,"[1, 1]",880
language_563,"[0, 1]",880
language_564,"[1, 1]",880
language_565,"[1, 1]",880
language_566,"[1, 0]",880
language_567,"[1, 1]",880
language_568,"[1, 1]",880
language_569,"[1, 1]",880
language_570,"[1, 1]",880
language_571,"[1, 1]",880
language_572,"[1, 1]",880
language_573,"[1, 1]",880
language_574,"[1, 1]",880
language_575,"[1, 1]",880
language_576,"[1, 1]",880
language_577,"[1, 1]",880
language_578,"[1, 1]",880
language_579,"[1, 1]",880
language_580,"[1, 1]",880
language_581,"[1, 1]",880
language_582,"[1, 1]",880
language_583,"[1, 1]",880
language_584,"[0, 1]",880
language_585,"[1, 1]",880
language_587,"[0, 1]",880
language_588,"[1, 1]",880
language_589,"[1, 1]",880
language_590,"[1, 1]",880
language_591,"[1, 1]",880
language_592,"[1, 1]",880
language_593,"[1, 1]",880
language_594,"[1, 1]",880
language_595,"[1, 1]",880
language_596,"[1, 1]",880
language_597,"[1, 1]",880
language_598,"[1, 0]",880
language_599,"[1, 1]",880
language_600,"[1, 1]",880
language_601,"[1, 1]",880
language_602,"[0, 1]",880
language_603,"[1, 1]",880
language_604,"[1, 1]",880
language_605,"[1, 1]",880
language_606,"[1, 1]",880
language_607,"[1, 1]",880
language_608,"[1, 1]",880
language_609,"[1, 1]",880
language_610,"[0, 1]",880
language_611,"[1, 1]",880
language_612,"[0, 1]",880
language_615,"[0, 1]",880
language_616,"[1, 1]",880
language_617,"[1, 1]",880
language_618,"[1, 1]",880
language_619,"[1, 1]",880
language_621,"[1, 1]",880
language_622,"[1, 1]",880
language_623,"[1, 1]",880
language_624,"[1, 1]",880
language_625,"[1, 1]",880
language_626,"[1, 1]",880
language_627,"[1, 1]",880
language_628,"[1, 1]",880
language_629,"[1, 1]",880
language_630,"[1, 1]",880
language_631,"[1, 1]",880
language_633,"[1, 1]",880
language_634,"[1, 1]",880
language_635,"[0, 0]",880
language_636,"[1, 1]",880
language_637,"[1, 1]",880
language_638,"[1, 0]",880
language_639,"[1, 1]",880
language_640,"[1, 1]",880
language_641,"[1, 1]",880
language_642,"[0, 1]",880
language_643,"[1, 1]",880
language_644,"[1, 1]",880
language_645,"[1, 0]",880
language_646,"[1, 1]",880
language_647,"[1, 0]",880
language_648,"[1, 1]",880
language_649,"[1, 1]",880
language_650,"[1, 1]",880
language_651,"[1, 1]",880
language_652,"[1, 1]",880
language_653,"[1, 1]",880
language_654,"[1, 1]",880
language_656,"[1, 1]",880
language_657,"[1, 1]",880
language_658,"[1, 1]",880
language_659,"[0, 1]",880
language_660,"[1, 1]",880
language_661,"[1, 1]",880
language_662,"[1, 1]",880
language_663,"[1, 1]",880
language_664,"[1, 1]",880
language_665,"[1, 1]",880
language_666,"[1, 0]",880
language_667,"[0, 1]",880
language_668,"[1, 1]",880
language_669,"[1, 1]",880
language_670,"[1, 1]",880
language_671,"[1, 1]",880
language_672,"[1, 1]",880
language_673,"[0, 0]",880
language_674,"[1, 1]",880
language_675,"[1, 1]",880
language_676,"[1, 1]",880
language_677,"[1, 1]",880
language_678,"[1, 1]",880
language_679,"[1, 1]",880
language_680,"[1, 1]",880
language_681,"[1, 1]",880
language_682,"[1, 1]",880
language_683,"[0, 0]",880
language_684,"[1, 1]",880
language_685,"[1, 0]",880
language_686,"[1, 1]",880
language_687,"[0, 1]",880
language_688,"[1, 1]",880
language_689,"[1, 1]",880
language_690,"[1, 1]",880
language_691,"[1, 0]",880
language_692,"[1, 1]",880
language_693,"[1, 1]",880
language_694,"[1, 1]",880
language_695,"[1, 1]",880
language_696,"[1, 1]",880
language_697,"[1, 1]",880
language_698,"[1, 1]",880
language_699,"[1, 0]",880
language_700,"[1, 1]",880
language_701,"[1, 1]",880
language_702,"[1, 1]",880
language_703,"[1, 1]",880
language_704,"[0, 1]",880
language_705,"[0, 1]",880
language_706,"[1, 1]",880
language_707,"[1, 1]",880
language_708,"[1, 1]",880
language_709,"[1, 1]",880
language_711,"[1, 1]",880
language_712,"[1, 1]",880
language_714,"[1, 1]",880
language_715,"[1, 1]",880
language_717,"[1, 1]",880
language_718,"[1, 1]",880
language_719,"[1, 1]",880
language_720,"[1, 1]",880
language_721,"[1, 1]",880
language_722,"[1, 1]",880
language_724,"[1, 1]",880
language_725,"[1, 1]",880
language_727,"[1, 0]",880
language_728,"[1, 1]",880
language_729,"[1, 1]",880
language_730,"[1, 1]",880
language_731,"[1, 0]",880
language_732,"[1, 1]",880
language_733,"[1, 1]",880
language_734,"[1, 1]",880
language_735,"[1, 1]",880
language_736,"[0, 1]",880
language_737,"[1, 1]",880
language_739,"[1, 1]",880
language_741,"[1, 1]",880
language_742,"[1, 1]",880
language_743,"[1, 1]",880
language_744,"[1, 1]",880
language_745,"[1, 0]",880
language_746,"[1, 1]",880
language_747,"[1, 1]",880
language_748,"[1, 1]",880
language_749,"[1, 1]",880
language_750,"[1, 1]",880
language_751,"[1, 1]",880
language_752,"[1, 1]",880
language_753,"[1, 1]",880
language_754,"[1, 1]",880
language_756,"[1, 1]",880
language_757,"[1, 1]",880
language_758,"[0, 1]",880
language_759,"[1, 1]",880
language_760,"[1, 1]",880
language_761,"[1, 1]",880
language_762,"[1, 1]",880
language_763,"[1, 0]",880
language_764,"[1, 1]",880
language_765,"[1, 1]",880
language_766,"[1, 1]",880
language_767,"[1, 1]",880
language_768,"[1, 1]",880
language_769,"[1, 1]",880
language_770,"[1, 1]",880
language_772,"[1, 1]",880
language_773,"[1, 1]",880
language_774,"[1, 1]",880
language_775,"[1, 1]",880
language_776,"[0, 1]",880
language_777,"[1, 1]",880
language_778,"[1, 1]",880
language_781,"[1, 1]",880
language_782,"[1, 1]",880
language_783,"[1, 1]",880
language_785,"[1, 1]",880
language_787,"[1, 1]",880
language_788,"[1, 1]",880
language_789,"[1, 1]",880
language_790,"[0, 1]",880
language_791,"[1, 1]",880
language_792,"[1, 0]",880
language_793,"[1, 1]",880
language_794,"[1, 1]",880
language_795,"[1, 1]",880
language_796,"[0, 1]",880
language_797,"[1, 1]",880
language_798,"[1, 1]",880
language_799,"[1, 1]",880
language_800,"[1, 1]",880
language_801,"[1, 1]",880
language_802,"[1, 1]",880
language_803,"[1, 1]",880
language_804,"[1, 1]",880
language_805,"[1, 1]",880
language_806,"[1, 1]",880
language_807,"[1, 1]",880
language_808,"[1, 1]",880
language_809,"[1, 1]",880
language_811,"[0, 1]",880
language_812,"[1, 1]",880
language_813,"[1, 1]",880
language_814,"[1, 1]",880
language_815,"[1, 1]",880
language_816,"[1, 0]",880
language_817,"[1, 1]",880
language_818,"[1, 1]",880
language_819,"[1, 1]",880
language_820,"[1, 1]",880
language_821,"[0, 1]",880
language_822,"[1, 1]",880
language_823,"[1, 1]",880
language_825,"[1, 1]",880
language_826,"[1, 1]",880
language_827,"[1, 0]",880
language_829,"[1, 1]",880
language_831,"[1, 1]",880
language_832,"[1, 1]",880
language_833,"[1, 1]",880
language_834,"[1, 1]",880
language_835,"[1, 1]",880
language_836,"[1, 1]",880
language_837,"[1, 1]",880
language_838,"[1, 1]",880
language_839,"[1, 1]",880
language_840,"[1, 1]",880
language_841,"[1, 1]",880
language_842,"[0, 1]",880
language_843,"[1, 0]",880
language_844,"[1, 1]",880
language_845,"[0, 1]",880
language_846,"[1, 1]",880
language_847,"[1, 1]",880
language_848,"[1, 1]",880
language_849,"[1, 1]",880
language_850,"[1, 1]",880
language_851,"[1, 1]",880
language_852,"[1, 0]",880
language_853,"[1, 1]",880
language_854,"[1, 1]",880
language_855,"[1, 1]",880
language_857,"[1, 1]",880
language_858,"[1, 1]",880
language_859,"[1, 1]",880
language_860,"[1, 0]",880
language_861,"[0, 1]",880
language_862,"[1, 1]",880
language_863,"[1, 1]",880
language_864,"[1, 1]",880
language_865,"[1, 1]",880
language_866,"[0, 1]",880
language_867,"[1, 1]",880
language_868,"[1, 1]",880
language_869,"[1, 1]",880
language_870,"[1, 1]",880
language_871,"[1, 1]",880
language_872,"[1, 1]",880
language_873,"[1, 1]",880
language_874,"[1, 1]",880
language_875,"[1, 1]",880
language_876,"[1, 1]",880
language_877,"[1, 1]",880
language_878,"[1, 1]",880
language_879,"[1, 1]",880
language_880,"[1, 1]",880
language_881,"[0, 1]",880
language_882,"[1, 1]",880
language_883,"[1, 1]",880
language_884,"[1, 1]",880
language_885,"[1, 0]",880
language_886,"[1, 1]",880
language_887,"[0, 1]",880
language_888,"[1, 1]",880
language_889,"[1, 1]",880
language_890,"[0, 1]",880
language_891,"[1, 1]",880
language_892,"[1, 1]",880
language_893,"[1, 1]",880
language_894,"[1, 1]",880
language_895,"[1, 0]",880
language_896,"[0, 1]",880
language_897,"[1, 1]",880
language_898,"[0, 1]",880
language_899,"[1, 1]",880
language_900,"[1, 1]",880
language_901,"[1, 1]",880
language_903,"[1, 1]",880
language_904,"[0, 1]",880
language_905,"[0, 1]",880
language_906,"[1, 1]",880
language_907,"[1, 1]",880
language_908,"[1, 1]",880
language_909,"[1, 1]",880
language_910,"[1, 1]",880
language_911,"[1, 1]",880
language_913,"[1, 1]",880
language_914,"[1, 1]",880
language_915,"[1, 1]",880
language_916,"[1, 1]",880
language_917,"[1, 1]",880
language_918,"[1, 1]",880
language_919,"[1, 1]",880
language_921,"[1, 1]",880
language_922,"[0, 1]",880
language_923,"[1, 1]",880
language_924,"[1, 1]",880
language_925,"[1, 1]",880
language_926,"[1, 1]",880
language_927,"[1, 1]",880
language_928,"[1, 1]",880
language_929,"[1, 1]",880
language_930,"[1, 1]",880
language_931,"[1, 1]",880
language_932,"[1, 1]",880
language_933,"[1, 1]",880
language_935,"[1, 1]",880
language_936,"[1, 1]",880
language_938,"[1, 1]",880
language_939,"[1, 1]",880
language_940,"[1, 1]",880
language_941,"[1, 1]",880
language_942,"[1, 1]",880
language_943,"[1, 1]",880
language_944,"[1, 1]",880
language_945,"[1, 1]",880
language_946,"[1, 1]",880
language_947,"[1, 1]",880
language_948,"[1, 1]",880
language_949,"[1, 0]",880
language_950,"[1, 1]",880
language_951,"[1, 1]",880
language_952,"[0, 1]",880
language_953,"[1, 0]",880
language_954,"[1, 1]",880
language_955,"[1, 1]",880
language_956,"[1, 1]",880
language_957,"[1, 1]",880
language_958,"[0, 1]",880
language_959,"[1, 0]",880
language_960,"[1, 1]",880
language_961,"[0, 1]",880
language_962,"[1, 1]",880
language_963,"[1, 1]",880
language_964,"[1, 1]",880
language_965,"[1, 1]",880
language_966,"[1, 1]",880
language_967,"[1, 1]",880
language_968,"[1, 1]",880
language_969,"[1, 1]",880
language_970,"[1, 1]",880
language_971,"[0, 1]",880
language_972,"[1, 1]",880
language_973,"[1, 1]",880
language_975,"[1, 0]",880
language_976,"[1, 1]",880
language_977,"[1, 1]",880
language_978,"[0, 1]",880
language_979,"[1, 1]",880
language_980,"[1, 1]",880
language_981,"[1, 1]",880
language_982,"[0, 1]",880
language_983,"[1, 1]",880
language_984,"[0, 1]",880
language_985,"[1, 0]",880
language_986,"[1, 1]",880
language_987,"[0, 1]",880
language_988,"[1, 1]",880
language_989,"[1, 1]",880
language_990,"[1, 1]",880
language_991,"[1, 1]",880
language_992,"[0, 1]",880
language_993,"[1, 1]",880
language_994,"[1, 1]",880
language_995,"[1, 1]",880
language_996,"[1, 1]",880
language_997,"[1, 1]",880
language_998,"[0, 1]",880
language_999,"[1, 0]",880
language_1000,"[1, 1]",880
